alpha	beta	eta	r
2.578702176	1.59071084	1.199768449	0.071364237
12.26713796	823.5629819	0.001978588	3.767877586
0.071064471	0.000173386	1050.119287	86.60462722
0.567048962	2.983307961	0.444054326	0.06552249
0.096449555	0.051752895	1.013481118	0.015105444
147.6368054	2865.219247	0.001730441	27.80706513
0.017138427	5.13E-006	11.54033852	3.379716649
0.206170763	10.45106016	22.68273381	48.1506601
0.038610251	6.153695021	30.77650977	92.30385321
0.041905774	0.061425562	0.68214231	0.004799961
0.308132427	0.275708669	0.17929631	0.153872004
0.004493142	0.018022455	1.387149529	0.024614544
0.136748615	0.007407689	0.064233531	3.561071162
0.809310105	1.97294861	0.005419347	5.296252735
2.372770828	295.6877138	0.002608971	441.780399
15.72044128	1871.679336	0.003380486	71.10388897
2.004760719	1.39030968	1.261402757	0.082247355
0.272483469	0.205188331	0.208000966	0.186432026
0.239913134	1.5974264	0.005064652	7.741435587
0.00752616	0.000165194	440.2222571	79.65411218
0.007882411	0.168890983	554.1590086	3.448258921
0.004960166	1.19113E-05	5.155212448	3.540773498
86.20701033	706.8572421	3.022366307	1.233619734
0.015728222	0.154436891	377.224167	25.87961891
196.6217198	2938.675911	0.00254152	12.56561475
0.004758819	0.001594327	163.9517179	5.775982095
0.384209191	0.013009924	291.7718718	121.884881
0.062897788	0.071856023	0.443134383	0.014418605
0.003413291	0.004051606	346.868353	6.394338431
18.7204815	110.7140925	0.000969601	1.471221873
0.031489578	4.4912E-05	344.2021209	147.1443382
0.91638148	0.871700114	0.003508572	2.351559281
0.798908548	0.000399867	0.362954605	13.14669315
0.001523606	0.009754504	0.405453971	0.023428039
0.094500619	0.000470728	1435.364999	61.99809102
0.001563013	0.002032851	225.015919	11.3660409
0.811869815	2.135942453	0.120191418	0.04574484
0.016964989	7.182505459	9.851446498	83.78342461
0.475730606	0.026828283	0.019562157	2.450892461
2.527045228	888.1027723	0.002318611	282.8289226
0.023865748	0.000102319	330.3141	66.67961297
0.081721743	0.000100948	82.64472017	27.46493548
0.002242297	0.009281031	1570.2698	25.52856047
0.020231739	0.015257452	1044.795311	39.09046962
1.761204399	0.002941089	0.089157135	3.936325052
0.039765437	0.272654601	654.4071163	20.50290036
0.001145953	0.001760693	606.1615166	9.597819683
0.020519833	1.171997801	6.69436009	67.78315431
2.081999448	3.020520524	0.003771947	0.949746827
0.045212214	0.00088457	698.5177156	94.77164799
2.270690404	0.244289902	0.008142572	1.332684455
5.804772349	719.0790511	0.000661098	1.358212859
0.316016236	2.045531457	0.367010081	0.074854891
0.063315848	8.648245797	16.18048636	83.14031866
0.067288889	5.00531E-05	101.0378142	22.61415266
0.223791505	0.006107044	189.7353923	110.4433202
7.418010642	58.01263824	0.000731075	2.230642662
2.112727047	0.003287331	0.119982046	3.221351945
0.067288889	5.00531E-05	101.0378142	22.61415266
0.058192379	2.79099E-05	48.94294786	27.32930705
0.004758819	0.001594327	163.9517179	5.775982095
0.000826097	0.008124645	0.851528345	0.03073766
0.046971469	0.076968651	0.675046639	0.019210771
0.014764758	1.34387E-05	290.5174158	23.26943038
0.046021067	1.24928E-05	36.91910749	66.5006093
0.068204565	1.69865E-05	52.45214614	21.82281037
0.001884773	0.006048948	0.32404524	0.025631429
0.372585013	71.06365422	28.72407044	13.2687097
0.006083831	0.140604991	583.2506201	3.852104532
0.007192538	0.121565556	592.8668032	4.997492301
35.86191656	1800.905517	0.00149668	7.038424503
2.33110646	0.00418513	0.186310215	19.88507868
0.001029564	0.005170982	0.414762863	0.034235059
2.815331633	0.004614155	0.116887982	28.68544648
19.23133161	861.6967746	0.001352921	2.196253561
0.055056851	2.42066E-05	47.97637712	37.26627758
0.001145953	0.001760693	606.1615166	9.597819683
0.172957033	0.189747695	472.9800779	38.71820266
0.041455118	0.019543697	153.8296539	14.96152506
2.236453123	3.636572213	0.039034917	0.260312092
4.337751947	15.33501937	0.792101105	0.098179855
0.002115138	0.080152777	10.26388282	45.88134788
0.054984301	4.56323E-05	13.16556466	2.014081066
0.036056378	0.002165833	228.0513019	5.592584754
409.9324087	6355.926704	0.001729036	3.178037068
0.115900995	0.00182094	1023.833999	165.6566163
0.002079484	0.014224869	0.325477287	0.016935686
1.511917253	1.092302902	0.003767554	1.687030995
0.001042056	0.004592162	0.432750921	0.028058342
0.104372998	1.84907E-05	1.255798136	3.445140774
0.673659598	101.8380205	0.000548014	1.177474596
0.003572424	0.213555596	13.30173988	138.3470304
0.098094574	5.95252E-05	0.728236064	3.868317849
0.427413178	1.067176308	0.005371442	4.120305598
0.006917794	0.001799944	140.5921368	7.253867067
0.016965893	0.47064576	27.87923322	65.07824666
0.018539464	0.001941944	145.138088	5.447361874
0.162992328	1.589879851	0.131676782	0.087841417
0.484714716	0.003824129	0.165883136	3.11585318
0.011234436	0.032103381	1.740653357	0.032069535
0.166259266	0.854577505	0.105476888	0.03042821
16.84481667	1000.336628	0.003890928	88.83533558
0.107011605	2.63475E-05	2.022278785	5.105105943
0.020041987	0.243341282	607.0038839	5.550292297
0.641517679	8.632197668	0.003751539	4.492915734
0.061767674	0.000227001	179.669623	125.1487354
8.593803016	684.4409798	0.001349585	106.3400211
0.079669388	0.002406732	343.9767673	63.7325406
0.833519154	0.000515861	0.162673539	2.538493839
0.00746069	0.004428222	230.5251018	13.89395305
0.057817907	0.000193394	1241.497835	115.4869755
0.098947665	0.001589334	1139.767765	204.4783086
0.012904659	1.43324E-05	487.2214812	42.35627642
0.572807265	83.27696235	16.41218428	9.685758882
7.922831605	35.72508914	2.330845274	0.195502065
0.46762013	75.56089176	17.50090293	13.45079731
8.763776934	195.1540394	10.20666531	1.650059628
0.005944864	5.98302E-05	412.098397	125.4522772
0.031163686	3.36583E-05	1401.744278	24.40863979
0.013283796	5.128883119	9.367311602	83.75848495
0.018539464	0.001941944	145.138088	5.447361874
2.717153613	322.9331357	0.000162125	1.440555266
0.140123793	4.43786E-05	0.776094402	7.344371534
2.594905994	1.164075581	0.767172161	0.035689245
0.240367934	0.000200761	0.871788281	2.945635961
0.036993272	0.000108212	1609.139191	86.73016599
108.1859158	3444.879939	9.017429636	0.811545815
0.05965711	0.065364813	0.531626445	0.014159139
33.57219277	153.008469	1.724227225	0.307825328
0.0432972	3.927041863	8.855419548	54.00504871
116.0391235	3514.769559	10.74169671	0.612569243
0.426793523	7.340985879	0.004153438	6.455997968
702.9114115	8366.489002	0.00153277	1.686123412
1.370224599	220.5971278	0.000156096	1.550414173
122.7102604	1987.422808	9.067323648	0.754436253
0.021782881	0.013249633	0.409698568	0.009683599
0.098604862	2.79492E-05	1.218002733	1.511545984
3.601012002	0.004632074	0.216699283	3.336872786
0.004946924	0.018756734	0.370670082	0.011362176
0.060962936	0.003075983	275.3080977	58.96116775
0.045372721	3.165495364	12.0064972	68.54410424
0.031018819	0.000270533	748.897349	151.7286276
27.40908882	819.8151336	3.680670408	1.793863527
0.008532221	3.136610048	8.233750184	68.9672995
0.41859129	0.177522788	0.905884312	0.036343943
0.005542271	0.002657103	316.1257971	20.37809876
0.281516075	0.015605467	178.6848697	94.83690931
1.338280756	0.677970002	0.0845919	0.159615942
0.082843775	0.00038448	2326.568796	54.50264964
0.112585929	0.002909476	225.7924011	137.2961135
0.211878836	0.007239229	0.074225235	2.977615659
0.020231739	0.015257452	1044.795311	39.09046962
0.044236764	0.096253786	0.511547668	0.015137083
0.002728167	0.00959911	2665.365396	23.49719676
0.017879891	0.161522977	425.5574634	33.76967249
